Dataset,Model,Enhancement,Optimizer,LR,BatchSize,Time/Epoch (sec),Total Time (sec),#Epoch(total),#Epoch(saved),Accuracy(total),Train Accuracy,NumParam,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,Accuracy_6,Accuracy_7,Accuracy_8,Accuracy_9,Accuracy_10
mnist,CNN,,LBFGS,0.01,40000,19.061038976834144,1543.9441571235657,81,76,98.51,98.798,44426,100.0,97.77777777777777,97.87234042553192,98.38709677419355,98.55072463768116,94.38202247191012,98.46153846153847,97.3913043478261,99.11504424778761,97.84172661870504
fashion_mnist,CNN,dropout,LBFGS,0.1,50000,17.98539502280099,377.6932954788208,21,16,84.5,85.168,44426,83.1,96.2,73.8,88.5,78.6,95.5,45.2,94.2,95.5,94.4
cifar,CNN,,SGD,0.01,50000,8.108924758434295,810.8924758434296,100,100,20.19,20.685,62006,27.2,49.8,0.0,24.7,0.0,0.0,10.3,55.6,1.8,32.5
mnist,CNN,no_pool,SGD,0.001,32,5.0452414119944855,85.76910400390625,17,12,98.07,98.692,54100,98.46938775510205,99.47136563876651,97.67441860465117,98.11881188118812,98.26883910386965,96.97309417040358,98.32985386221294,98.05447470817121,98.25462012320328,96.82854311199208
fashion_mnist,CNN,dropout,SGD,0.0001,32,4.7516297698020935,475.16297698020935,100,98,85.32,86.246,44426,83.6,95.5,71.0,88.8,79.8,94.9,55.4,93.9,95.6,94.7
mnist,CNN,,SGD,0.01,40000,7.893951032161713,789.3951032161713,100,100,60.13,58.748,44426,97.65625,98.51851851851852,65.95744680851064,58.87096774193548,80.43478260869566,4.49438202247191,51.53846153846154,64.34782608695652,34.51327433628319,6.474820143884892
cifar,CNN,,SGD,0.01,32,14.176818224099966,184.29863691329956,13,8,61.38,69.1675,62006,64.3,81.7,51.9,36.9,58.7,51.0,57.9,72.8,70.5,68.1
mnist,CNN,"dropout, no_pool",K-FAC,0.0001,32,17.173360413312913,686.9344165325165,40,35,96.78,97.352,54100,99.18367346938776,99.11894273127753,95.44573643410853,95.84158415841584,97.14867617107943,95.85201793721973,97.59916492693111,96.20622568093385,95.99589322381931,95.14370664023787
cifar,MLP,dropout,LBFGS,0.01,50000,8.986488404481307,413.37846660614014,46,41,42.36,42.2025,1647946,43.1,55.1,18.2,28.6,30.8,34.1,53.5,52.3,56.6,51.3
fashion_mnist,CNN,,K-FAC,0.001,32,13.20314872264862,79.21889233589172,6,1,82.66,84.008,44426,74.7,95.3,72.6,85.1,75.8,92.6,53.3,92.5,92.0,92.7
cifar,CNN,"dropout, no_pool",K-FAC,0.001,32,24.263739013671874,242.63739013671875,10,5,10.0,9.875,63520,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
fashion_mnist,CNN,dropout,LBFGS,0.01,50000,17.68979043671579,583.7630844116211,33,28,74.17,0.0,44426,75.8,90.9,68.5,76.1,73.5,80.1,8.2,84.7,89.2,94.7
fashion_mnist,MLP,dropout,LBFGS,0.01,50000,8.30921984570367,697.9744670391083,84,79,84.17,85.54,476490,82.2,95.6,73.3,86.1,77.3,90.4,56.1,91.0,95.7,94.0
fashion_mnist,CNN,no_pool,LBFGS,0.001,50000,24.969081659317016,2496.9081659317017,100,100,76.66,77.87,54100,77.5,91.5,64.7,80.6,67.6,88.8,24.7,85.9,91.8,93.5
mnist,CNN,,K-FAC,0.0001,32,13.088040855195787,117.79236769676208,9,4,98.66,99.18,44426,99.48979591836735,99.20704845814979,98.44961240310077,98.7128712871287,99.18533604887983,98.87892376681614,97.91231732776617,98.92996108949416,97.84394250513347,97.9187314172448
fashion_mnist,MLP,,LBFGS,0.1,50000,8.117150117953619,194.81160283088684,24,19,87.37,90.736,476490,81.4,96.1,80.7,88.5,80.1,95.1,66.9,94.8,95.6,94.5
cifar,MLP,,LBFGS,0.01,32,69.65986938714981,6965.986938714981,100,99,10.0,10.0325,1647946,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,MLP,,LBFGS,0.01,32,8.395542666912078,839.5542666912079,100,100,14.07,14.04,476490,13.1,0.0,0.4,40.9,7.7,0.0,26.0,0.0,0.0,52.6
cifar,CNN,,SGD,0.1,32,13.152407949621027,144.6764874458313,11,6,10.0,10.1475,62006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
fashion_mnist,CNN,dropout,LBFGS,0.0001,50000,17.22343769788742,1722.343769788742,100,98,10.0,9.998,44426,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,CNN,"dropout, no_pool",SGD,0.001,32,5.479046604850075,180.8085379600525,33,28,96.88,96.976,54100,98.87755102040816,99.20704845814979,96.12403100775194,94.85148514851485,96.74134419551935,97.53363228699551,98.22546972860125,95.52529182879377,96.50924024640658,95.14370664023787
fashion_mnist,MLP,,LBFGS,0.001,32,19.445609198676216,175.01048278808594,9,4,6.78,6.7,476490,45.3,0.2,6.2,0.0,0.0,16.0,0.0,0.0,0.0,0.1
fashion_mnist,CNN,,SGD,0.0001,32,15.936773764326217,1498.0567338466644,94,89,87.39,88.866,44426,86.8,96.5,80.5,89.0,80.7,96.7,57.6,94.7,96.2,95.2
fashion_mnist,CNN,,LBFGS,0.001,50000,19.112932295799254,1911.2932295799255,100,100,79.44,80.728,44426,78.3,92.4,59.8,83.3,74.1,89.3,40.4,90.6,92.5,93.7
